Player_ID_Full,Role
Jonjo Shelvey_ENG_MF_Newcastle Utd_Premier League_28_2020-2021,Centre Midfielder
Jonny Castro_ESP_DF_Wolves_Premier League_26_2020-2021,Fullback
Jonny Evans_NIR_DF_Leicester City_Premier League_32_2020-2021,Centreback
Jordan Ayew_GHA_FWMF_Crystal Palace_Premier League_28_2020-2021,Striker
Jordan Henderson_ENG_MFDF_Liverpool_Premier League_30_2020-2021,Centre Midfielder
Jordan Pickford_ENG_GK_Everton_Premier League_26_2020-2021,Goalkeeper
Jorginho_ITA_MF_Chelsea_Premier League_28_2020-2021,Defensive Midfielder
Josh Brownhill_ENG_MF_Burnley_Premier League_24_2020-2021,Centre Midfielder
Josh Maja_NGA_FWMF_Fulham_Premier League_21_2020-2021,Striker
Juan Mata_ESP_FWMF_Manchester Utd_Premier League_32_2020-2021,Attacking Midfielder
Kai Havertz_GER_MFFW_Chelsea_Premier League_21_2020-2021,Attacking Midfielder
Kalvin Phillips_ENG_MF_Leeds United_Premier League_24_2020-2021,Defensive Midfielder
Karl Darlow_ENG_GK_Newcastle Utd_Premier League_29_2020-2021,Goalkeeper
Karlan Grant_ENG_FWMF_West Brom_Premier League_22_2020-2021,Striker
Kasper Schmeichel_DEN_GK_Leicester City_Premier League_33_2020-2021,Goalkeeper
Kean Bryan_ENG_DF_Sheffield Utd_Premier League_23_2020-2021,Centreback
Kelechi Iheanacho_NGA_FW_Leicester City_Premier League_23_2020-2021,Striker
Kenny Tete_NED_DF_Fulham_Premier League_24_2020-2021,Fullback
Kepa Arrizabalaga_ESP_GK_Chelsea_Premier League_25_2020-2021,Goalkeeper
Kevin De Bruyne_BEL_MF_Manchester City_Premier League_29_2020-2021,Attacking Midfielder
Kevin Long_IRL_DF_Burnley_Premier League_29_2020-2021,Centreback
Kieran Gibbs_ENG_DF_West Brom_Premier League_30_2020-2021,Fullback
Kieran Tierney_SCO_DF_Arsenal_Premier League_23_2020-2021,Fullback
Ki-Jana Hoever_NED_DF_Wolves_Premier League_18_2020-2021,Fullback
Kortney Hause_ENG_DF_Aston Villa_Premier League_25_2020-2021,Centreback
Kurt Zouma_FRA_DF_Chelsea_Premier League_25_2020-2021,Centreback
Kyle Bartley_ENG_DF_West Brom_Premier League_29_2020-2021,Centreback
Kyle Walker_ENG_DF_Manchester City_Premier League_30_2020-2021,Fullback
Kyle Walker-Peters_ENG_DF_Southampton_Premier League_23_2020-2021,Fullback
Leander Dendoncker_BEL_MFDF_Wolves_Premier League_25_2020-2021,Defensive Midfielder
Leandro Trossard_BEL_FWMF_Brighton_Premier League_25_2020-2021,Winger
Lewis Dunk_ENG_DF_Brighton_Premier League_28_2020-2021,Centreback
Liam Cooper_SCO_DF_Leeds United_Premier League_28_2020-2021,Centreback
Lucas Digne_FRA_DF_Everton_Premier League_27_2020-2021,Fullback
Lucas Moura_BRA_FWMF_Tottenham_Premier League_27_2020-2021,Winger
Luka Milivojević_SRB_MF_Crystal Palace_Premier League_29_2020-2021,Defensive Midfielder
Łukasz Fabiański_POL_GK_West Ham_Premier League_35_2020-2021,Goalkeeper
Luke Ayling_ENG_DF_Leeds United_Premier League_28_2020-2021,Fullback
Luke Shaw_ENG_DF_Manchester Utd_Premier League_25_2020-2021,Fullback
Luke Thomas_ENG_DF_Leicester City_Premier League_19_2020-2021,Fullback
Manuel Lanzini_ARG_MFFW_West Ham_Premier League_27_2020-2021,Attacking Midfielder
